epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.938,1.37314,2.46526,1.3389,0.06426,0.96927,0.7462,0.46926,1.15793,2.38696,1.09355,0.0005,0.0005,0.0005
2,1433.36,1.33122,1.33424,1.28299,0.72007,0.72571,0.80351,0.47159,1.20151,1.56284,1.1523,0.000999804,0.000999804,0.000999804
3,2116.18,1.26512,0.99433,1.27233,0.95744,0.91899,0.96814,0.62341,1.13858,0.97427,1.14521,0.00147902,0.00147902,0.00147902
4,2820.83,1.22478,0.92683,1.22652,0.91513,0.86592,0.94101,0.63441,1.12433,0.88439,1.16002,0.0018812,0.0018812,0.0018812
5,3508.78,1.22704,0.88348,1.22192,0.95283,0.9028,0.97146,0.65134,1.15448,0.81138,1.10757,0.0018416,0.0018416,0.0018416
6,4167.6,1.19898,0.8288,1.19007,0.96161,0.96648,0.98327,0.68993,1.00192,0.71813,1.06646,0.001802,0.001802,0.001802
7,4822.68,1.17901,0.80303,1.19779,0.9506,0.96761,0.98305,0.70674,0.99311,0.7032,1.05459,0.0017624,0.0017624,0.0017624
8,5530.68,1.18245,0.79411,1.17581,0.92436,0.95251,0.97168,0.67004,1.06134,0.6837,1.10466,0.0017228,0.0017228,0.0017228
9,6382.3,1.16,0.75331,1.17409,0.97373,0.96089,0.98436,0.72472,0.94829,0.60402,1.03036,0.0016832,0.0016832,0.0016832
10,7453.48,1.1108,0.70049,1.14439,0.97662,0.9581,0.98089,0.7047,0.99469,0.62828,1.03148,0.0016436,0.0016436,0.0016436
11,8501.13,1.11294,0.70758,1.1384,0.93148,0.96648,0.96963,0.72682,0.90155,0.65118,1.02779,0.001604,0.001604,0.001604
12,9343.73,1.13657,0.71681,1.15412,0.98815,0.96089,0.98032,0.73522,0.93561,0.6111,1.04161,0.0015644,0.0015644,0.0015644
13,10118,1.11274,0.67799,1.14682,0.98387,0.96927,0.9835,0.73448,0.91348,0.58335,1.03812,0.0015248,0.0015248,0.0015248
14,10931.1,1.08754,0.6628,1.13731,0.98019,0.96767,0.98854,0.72444,0.8816,0.54045,1.0209,0.0014852,0.0014852,0.0014852
15,11732.2,1.05802,0.64346,1.11947,0.98357,0.96648,0.98295,0.73683,0.89284,0.5464,1.01233,0.0014456,0.0014456,0.0014456
16,12466.9,1.08317,0.65448,1.13141,0.99139,0.97486,0.9846,0.71422,0.97338,0.53737,1.0283,0.001406,0.001406,0.001406
17,13179.9,1.05531,0.6221,1.1192,0.98575,0.97486,0.98247,0.73462,0.91145,0.51403,1.02504,0.0013664,0.0013664,0.0013664
18,13938.3,1.06063,0.62379,1.13177,0.99274,0.96927,0.98648,0.74315,0.86528,0.50292,0.99785,0.0013268,0.0013268,0.0013268
19,14685.6,1.01222,0.59088,1.09822,0.98734,0.97486,0.98907,0.7348,0.88148,0.49901,1.02099,0.0012872,0.0012872,0.0012872
20,15377.3,1.02607,0.60638,1.10951,0.98898,0.96927,0.98499,0.74517,0.87642,0.50883,1.01537,0.0012476,0.0012476,0.0012476
21,16213.1,1.02033,0.59413,1.11114,0.98312,0.98045,0.98594,0.7646,0.83353,0.49463,0.99847,0.001208,0.001208,0.001208
22,16952.3,1.04975,0.59749,1.1225,0.97696,0.96927,0.97716,0.74069,0.87252,0.54041,1.01079,0.0011684,0.0011684,0.0011684
23,17731,1.01035,0.57784,1.10098,0.988,0.98045,0.98681,0.76282,0.81966,0.4654,0.99267,0.0011288,0.0011288,0.0011288
24,18451.4,1.00274,0.57229,1.10439,0.99461,0.97207,0.98512,0.75704,0.85166,0.46599,0.99838,0.0010892,0.0010892,0.0010892
25,19144.2,0.98813,0.54613,1.08918,0.99713,0.97182,0.98541,0.74078,0.91278,0.4403,1.01344,0.0010496,0.0010496,0.0010496
26,19906.4,0.99784,0.5587,1.09939,0.99113,0.97765,0.98967,0.75795,0.84154,0.44415,0.99565,0.00101,0.00101,0.00101
27,20625.1,0.9858,0.54314,1.08769,0.99224,0.97486,0.98512,0.76432,0.84457,0.42603,0.99346,0.0009704,0.0009704,0.0009704
